transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,payment_status,source,email_masked,phone_masked,revenue,year,month,month_name,quarter,day_of_week,is_weekend
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,successful,retail_data1,40a175d94b67c5b13875,f896c10e8ef446251b8c,40500.0,2025,12,Dec,4,Saturday,True
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,successful,retail_data1,24ebfd46331edd85d7f4,b81e246fd26ec631b6c6,227500.0,2025,7,Jul,3,Monday,False
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,successful,retail_data1,a591c2c7e3daa665f8db,ed2e661efab47124a2da,123500.0,2025,7,Jul,3,Friday,False
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,successful,retail_data1,48f7c7da0f1149d18db2,73d5419d755c2d3f4e14,152000.0,2025,10,Oct,4,Monday,False
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,successful,retail_data1,f842de5fc6e0b75b586d,bcd6f7547010985038f9,14250.0,2025,12,Dec,4,Friday,False
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,successful,retail_data1,35422c1d429d29fd2762,761a4db1a445480e43cd,812500.0,2025,7,Jul,3,Friday,False
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,successful,retail_data1,dd8e7e1212fb3dadf7d8,6097845a54c33fda6c30,475000.0,2026,3,Mar,1,Tuesday,False
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,successful,retail_data1,50ae2f3087f040cb08fb,73405f53166b38d6e988,66500.0,2026,2,Feb,1,Thursday,False
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,successful,retail_data1,cb4afee4597a3d0dda92,ba8b5cfbfc420424c52e,94500.0,2025,8,Aug,3,Saturday,True
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,successful,retail_data1,abd7e3dafa4e2a5244ee,6ab80789b0abc1fa441b,84000.0,2025,12,Dec,4,Tuesday,False
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,successful,retail_data1,de0b75129679b50c6e97,138ebba653171bffc3b3,22400.0,2025,12,Dec,4,Monday,False
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,successful,retail_data1,fb83e27ab1213d4d5e58,46e6b0c6fe8f241f4507,180000.0,2025,6,Jun,2,Monday,False
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,successful,retail_data1,d963ec958fe698223197,f4a593f616c223dbd806,211250.0,2025,6,Jun,2,Saturday,True
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,successful,retail_data1,c5f829302296e1c2e9c8,ee4d34f61297745ddbf8,260000.0,2026,2,Feb,1,Tuesday,False
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,successful,retail_data1,e7f779b76a2b0d1be8c1,810343c6803cd2656b06,243750.0,2026,1,Jan,1,Saturday,True
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,successful,retail_data1,7994dd1de38b1118558c,81b65f6ceea61dc2cca1,34000.0,2025,8,Aug,3,Wednesday,False
